nome;curso;nota
Henrique Yamada Almeida;Enfermagem;2,23
Beatriz Nascimento Uchoa;Direito;8,02
Mariana Almeida Haddad;Análise e Desenvolvimento de Sistemas;2,49
Wesley Oliveira Vieira;Arquitetura e Urbanismo;7,16
Alice Lima Silva;Direito;6,38
Otávio Uchoa Costa;Arquitetura e Urbanismo;3,33
Natália Macedo Teixeira;Ciência da Computação;0,54
Ursula Duarte Ferreira;Psicologia;5,49
Mariana Zanetti Barbosa;Ciência da Computação;8,95
Bruno Batista Dias;Administração;3,69
Lucas Lima Silva;Enfermagem;8,66
Ana Duarte Ferreira;Administração;4,11
Mariana Dias Klein;Administração;5,18
Rafael Duarte Ferreira;Engenharia da Computação;8,05
Daniel Esteves Lima;Análise e Desenvolvimento de Sistemas;6,82
Pedro Cardoso Jardim;Enfermagem;5,27
Lucas Ramos Zanetti;Direito;4,67
Henrique Ramos Zanetti;Arquitetura e Urbanismo;7,35
Henrique Teixeira Batista;Engenharia Mecânica;0,78
Yasmin Queiroz Yamada;Arquitetura e Urbanismo;6,08
Otávio Ferreira Macedo;Administração;4,33
Karen Batista Dias;Análise e Desenvolvimento de Sistemas;5,50
Nicolas Jardim Queiroz;Enfermagem;8,14
Vinicius Zanetti Barbosa;Direito;2,03
Vinicius Yamada Almeida;Odontologia;9,17
Ursula Ibrahim Pereira;Enfermagem;3,13
Felipe Yamada Almeida;Direito;3,63
Júlia Ibrahim Pereira;Enfermagem;0,50
Sabrina Almeida Haddad;Arquitetura e Urbanismo;9,90
Natália Haddad Oliveira;Análise e Desenvolvimento de Sistemas;6,21
João Lima Silva;Enfermagem;2,98
Natália Yamada Almeida;Arquitetura e Urbanismo;7,24
Yasmin Silva Araújo;Direito;4,85
Olivia Batista Dias;Arquitetura e Urbanismo;4,19
Rafael Macedo Teixeira;Engenharia Mecânica;6,57
Kauã Nascimento Uchoa;Arquitetura e Urbanismo;3,34
Thiago Lima Silva;Engenharia da Computação;8,58
Eduarda Xavier Freitas;Ciência da Computação;8,08
Ursula Pereira Xavier;Engenharia Mecânica;8,39
Fernando Dias Klein;Arquitetura e Urbanismo;1,68
Beatriz Costa Esteves;Análise e Desenvolvimento de Sistemas;0,20
Isabela Jardim Queiroz;Análise e Desenvolvimento de Sistemas;7,33
Yasmin Zanetti Barbosa;Análise e Desenvolvimento de Sistemas;4,99
Beatriz Queiroz Yamada;Engenharia da Computação;4,32
Wesley Dias Klein;Engenharia da Computação;7,16
Beatriz Macedo Teixeira;Odontologia;1,45
Otávio Duarte Ferreira;Engenharia da Computação;7,66
Vinicius Uchoa Costa;Enfermagem;0,94
Beatriz Gomes Nascimento;Administração;2,55
Ursula Uchoa Costa;Análise e Desenvolvimento de Sistemas;6,95
Lucas Klein Ramos;Engenharia da Computação;9,23
Henrique Duarte Ferreira;Engenharia da Computação;2,19
Henrique Freitas Gomes;Engenharia da Computação;9,18
Quezia Dias Klein;Odontologia;1,65
Giovana Cardoso Jardim;Direito;5,44
Isabela Xavier Freitas;Engenharia Mecânica;7,30
Rafael Freitas Gomes;Engenharia da Computação;6,69
Marcela Duarte Ferreira;Administração;0,53
Natália Ibrahim Pereira;Ciência da Computação;2,72
João Pereira Xavier;Direito;3,88
Heitor Jardim Queiroz;Administração;6,76
Quezia Queiroz Yamada;Engenharia da Computação;1,53
Leonardo Lima Silva;Enfermagem;0,70
Olivia Silva Araújo;Análise e Desenvolvimento de Sistemas;9,67
Daniel Macedo Teixeira;Engenharia da Computação;4,72
Isabela Almeida Haddad;Odontologia;4,42
Carla Freitas Gomes;Direito;9,69
Ingrid Duarte Ferreira;Arquitetura e Urbanismo;2,37
Giovana Oliveira Vieira;Enfermagem;0,51
Olivia Gomes Nascimento;Odontologia;6,88
Olivia Lima Silva;Engenharia Mecânica;3,06
Karen Pereira Xavier;Odontologia;7,63
Giovana Gomes Nascimento;Engenharia da Computação;2,96
Ingrid Zanetti Barbosa;Administração;3,83
Thiago Klein Ramos;Análise e Desenvolvimento de Sistemas;0,59
Sabrina Esteves Lima;Direito;3,96
Daniel Gomes Nascimento;Análise e Desenvolvimento de Sistemas;2,82
Ingrid Ibrahim Pereira;Ciência da Computação;1,08
Heitor Ramos Zanetti;Direito;9,91
Daniel Ramos Zanetti;Odontologia;6,90
Carla Yamada Almeida;Análise e Desenvolvimento de Sistemas;3,22
Henrique Silva Araújo;Administração;0,49
Ingrid Lima Silva;Enfermagem;4,42
Giovana Yamada Almeida;Odontologia;6,32
Yasmin Cardoso Jardim;Ciência da Computação;5,82
Gabriela Macedo Teixeira;Engenharia da Computação;2,68
Marcela Klein Ramos;Arquitetura e Urbanismo;6,09
Alice Ramos Zanetti;Engenharia Mecânica;9,51
Rafael Xavier Freitas;Psicologia;4,62
Olivia Haddad Oliveira;Psicologia;7,52
Vinicius Costa Esteves;Análise e Desenvolvimento de Sistemas;6,06
Otávio Queiroz Yamada;Psicologia;6,90
Pedro Nascimento Uchoa;Odontologia;3,56
Beatriz Esteves Lima;Administração;8,45
Isabela Uchoa Costa;Enfermagem;0,96
Wesley Gomes Nascimento;Engenharia da Computação;4,01
Leonardo Macedo Teixeira;Enfermagem;3,75
Bruno Vieira Duarte;Ciência da Computação;7,22
Karen Uchoa Costa;Engenharia da Computação;5,47
Sabrina Pereira Xavier;Ciência da Computação;5,45
Caio Ferreira Macedo;Engenharia Mecânica;5,94
Karen Dias Klein;Enfermagem;3,14
João Klein Ramos;Arquitetura e Urbanismo;8,57
Ingrid Vieira Duarte;Administração;9,69
Caio Silva Araújo;Psicologia;0,05
Carla Oliveira Vieira;Psicologia;8,45
Rafael Nascimento Uchoa;Psicologia;8,43
Caio Oliveira Vieira;Engenharia da Computação;4,20
Pedro Dias Klein;Enfermagem;4,43
Heitor Freitas Gomes;Odontologia;3,38
Nicolas Ibrahim Pereira;Enfermagem;7,44
Beatriz Xavier Freitas;Enfermagem;3,97
Natália Jardim Queiroz;Enfermagem;8,95
Natália Freitas Gomes;Enfermagem;4,45
Caio Macedo Teixeira;Engenharia da Computação;6,12
Natália Almeida Haddad;Análise e Desenvolvimento de Sistemas;7,39
Thiago Jardim Queiroz;Enfermagem;7,40
Thiago Ferreira Macedo;Arquitetura e Urbanismo;5,14
Ursula Almeida Haddad;Arquitetura e Urbanismo;2,88
Carla Almeida Haddad;Odontologia;5,27
Heitor Almeida Haddad;Direito;6,15
Gabriela Barbosa Ibrahim;Administração;0,20
Nicolas Silva Araújo;Análise e Desenvolvimento de Sistemas;0,68
Thiago Cardoso Jardim;Odontologia;5,74
Pedro Xavier Freitas;Enfermagem;9,38
Leonardo Batista Dias;Psicologia;6,06
Kauã Pereira Xavier;Odontologia;2,03
Quezia Esteves Lima;Enfermagem;0,26
Diego Duarte Ferreira;Administração;6,53
Rafael Ramos Zanetti;Engenharia Mecânica;5,89
Natália Cardoso Jardim;Direito;5,86
Thiago Queiroz Yamada;Odontologia;3,21
Heitor Araújo Cardoso;Engenharia da Computação;3,38
Felipe Duarte Ferreira;Arquitetura e Urbanismo;4,25
João Nascimento Uchoa;Administração;7,86
Marcela Ferreira Macedo;Direito;0,26
Fernando Macedo Teixeira;Arquitetura e Urbanismo;8,39
Carla Duarte Ferreira;Análise e Desenvolvimento de Sistemas;5,80
Fernando Barbosa Ibrahim;Engenharia da Computação;8,18
Gabriela Klein Ramos;Análise e Desenvolvimento de Sistemas;9,38
Fernando Oliveira Vieira;Engenharia da Computação;7,25
Lucas Xavier Freitas;Ciência da Computação;4,96
Olivia Yamada Almeida;Ciência da Computação;8,59
Alice Uchoa Costa;Engenharia Mecânica;6,07
Otávio Esteves Lima;Engenharia da Computação;7,04
Ingrid Ferreira Macedo;Engenharia da Computação;4,87
Isabela Teixeira Batista;Enfermagem;5,24
Felipe Lima Silva;Análise e Desenvolvimento de Sistemas;5,66
Olivia Freitas Gomes;Engenharia da Computação;2,80
Giovana Araújo Cardoso;Arquitetura e Urbanismo;2,81
Caio Jardim Queiroz;Enfermagem;4,56
Sabrina Yamada Almeida;Administração;0,57
Ana Ramos Zanetti;Ciência da Computação;6,28
Quezia Gomes Nascimento;Direito;4,04
Kauã Gomes Nascimento;Ciência da Computação;9,96
Daniel Almeida Haddad;Odontologia;6,82
Isabela Esteves Lima;Odontologia;2,28
Elisa Barbosa Ibrahim;Análise e Desenvolvimento de Sistemas;1,72
Kauã Haddad Oliveira;Ciência da Computação;3,67
Marcela Xavier Freitas;Arquitetura e Urbanismo;1,30
Otávio Dias Klein;Administração;4,82
Caio Esteves Lima;Ciência da Computação;0,87
Giovana Almeida Haddad;Enfermagem;2,02
Leonardo Jardim Queiroz;Arquitetura e Urbanismo;4,40
Ana Araújo Cardoso;Odontologia;3,24
Heitor Pereira Xavier;Psicologia;5,83
Carla Nascimento Uchoa;Engenharia da Computação;3,71
Marcela Cardoso Jardim;Direito;5,60
Heitor Duarte Ferreira;Engenharia da Computação;4,59
Wesley Batista Dias;Ciência da Computação;6,38
Fernando Nascimento Uchoa;Enfermagem;7,18
Ana Yamada Almeida;Administração;0,46
Henrique Gomes Nascimento;Ciência da Computação;8,23
Gabriela Teixeira Batista;Análise e Desenvolvimento de Sistemas;6,86
Giovana Costa Esteves;Arquitetura e Urbanismo;3,35
Gabriela Oliveira Vieira;Engenharia da Computação;9,05
Nicolas Haddad Oliveira;Engenharia da Computação;0,08
Bruno Duarte Ferreira;Administração;7,60
Daniel Costa Esteves;Arquitetura e Urbanismo;3,28
Júlia Zanetti Barbosa;Arquitetura e Urbanismo;2,59
Mariana Silva Araújo;Psicologia;0,53
Eduarda Esteves Lima;Análise e Desenvolvimento de Sistemas;2,13
Yasmin Ramos Zanetti;Arquitetura e Urbanismo;4,86
Júlia Barbosa Ibrahim;Enfermagem;4,08
Leonardo Almeida Haddad;Engenharia da Computação;2,04
Fernando Xavier Freitas;Psicologia;6,72
Vinicius Xavier Freitas;Ciência da Computação;9,81
Paulo Lima Silva;Enfermagem;6,30
Pedro Lima Silva;Psicologia;5,06
Isabela Araújo Cardoso;Engenharia da Computação;8,99
Daniel Cardoso Jardim;Ciência da Computação;5,16
João Araújo Cardoso;Administração;0,11
Rafael Pereira Xavier;Ciência da Computação;7,10
Carla Vieira Duarte;Engenharia da Computação;9,31
Karen Ibrahim Pereira;Ciência da Computação;1,76
Ingrid Esteves Lima;Administração;4,81
Diego Macedo Teixeira;Análise e Desenvolvimento de Sistemas;0,13
Ursula Silva Araújo;Análise e Desenvolvimento de Sistemas;2,02
Rafael Esteves Lima;Enfermagem;0,98
Ursula Ramos Zanetti;Análise e Desenvolvimento de Sistemas;1,52
Daniel Silva Araújo;Arquitetura e Urbanismo;7,02
Felipe Oliveira Vieira;Odontologia;6,49
Ingrid Gomes Nascimento;Direito;8,32
Marcela Macedo Teixeira;Enfermagem;8,12
Natália Barbosa Ibrahim;Psicologia;7,43
Karen Lima Silva;Psicologia;9,70
Alice Oliveira Vieira;Odontologia;0,80
Yasmin Batista Dias;Enfermagem;8,82
Heitor Xavier Freitas;Engenharia Mecânica;4,42
Vinicius Pereira Xavier;Engenharia Mecânica;5,92
Marcela Lima Silva;Ciência da Computação;8,74
Mariana Jardim Queiroz;Engenharia Mecânica;9,15
Caio Almeida Haddad;Direito;4,66
Wesley Ferreira Macedo;Enfermagem;7,20
Diego Nascimento Uchoa;Engenharia Mecânica;1,37
Caio Araújo Cardoso;Engenharia Mecânica;2,66
Mariana Queiroz Yamada;Administração;1,57
Leonardo Silva Araújo;Engenharia da Computação;0,92
Nicolas Barbosa Ibrahim;Psicologia;7,20
Yasmin Ibrahim Pereira;Ciência da Computação;2,60
Lucas Nascimento Uchoa;Engenharia da Computação;2,15
Kauã Uchoa Costa;Enfermagem;6,08
Otávio Lima Silva;Arquitetura e Urbanismo;8,24
Rafael Barbosa Ibrahim;Arquitetura e Urbanismo;3,47
Yasmin Gomes Nascimento;Análise e Desenvolvimento de Sistemas;0,85
Thiago Macedo Teixeira;Arquitetura e Urbanismo;0,48
Natália Silva Araújo;Psicologia;3,74
Gabriela Xavier Freitas;Odontologia;2,92
Karen Duarte Ferreira;Ciência da Computação;1,54
Gabriela Queiroz Yamada;Odontologia;4,50
Daniel Nascimento Uchoa;Ciência da Computação;7,90
Otávio Yamada Almeida;Enfermagem;6,40
Leonardo Vieira Duarte;Análise e Desenvolvimento de Sistemas;9,65
Heitor Silva Araújo;Análise e Desenvolvimento de Sistemas;3,89
Gabriela Batista Dias;Engenharia Mecânica;5,83
Henrique Lima Silva;Administração;7,99
Kauã Batista Dias;Engenharia da Computação;7,41
Felipe Gomes Nascimento;Engenharia da Computação;4,87
Ingrid Cardoso Jardim;Engenharia da Computação;3,99
Thiago Uchoa Costa;Enfermagem;0,80
Quezia Yamada Almeida;Ciência da Computação;8,44
Bruno Haddad Oliveira;Direito;0,39
Carla Barbosa Ibrahim;Psicologia;7,95
Thiago Barbosa Ibrahim;Psicologia;0,24
Pedro Gomes Nascimento;Psicologia;10,00
Rafael Yamada Almeida;Análise e Desenvolvimento de Sistemas;0,20
Elisa Xavier Freitas;Engenharia da Computação;3,77
Beatriz Yamada Almeida;Análise e Desenvolvimento de Sistemas;8,78
Kauã Almeida Haddad;Engenharia da Computação;2,13
Heitor Ibrahim Pereira;Engenharia Mecânica;2,90
Elisa Pereira Xavier;Análise e Desenvolvimento de Sistemas;6,07
Ingrid Xavier Freitas;Arquitetura e Urbanismo;4,48
Ana Uchoa Costa;Psicologia;4,47
Isabela Duarte Ferreira;Engenharia da Computação;2,63
Caio Duarte Ferreira;Engenharia Mecânica;1,65
Fernando Duarte Ferreira;Odontologia;8,75
Karen Costa Esteves;Análise e Desenvolvimento de Sistemas;9,78
Ursula Klein Ramos;Enfermagem;1,95
Quezia Uchoa Costa;Psicologia;2,86
Caio Batista Dias;Psicologia;2,24
Ursula Teixeira Batista;Engenharia Mecânica;1,34
Bruno Teixeira Batista;Administração;6,57
Yasmin Macedo Teixeira;Engenharia Mecânica;3,81
João Esteves Lima;Odontologia;6,54
Nicolas Lima Silva;Ciência da Computação;5,15
Kauã Xavier Freitas;Engenharia da Computação;5,46
Mariana Ibrahim Pereira;Psicologia;3,43
